BEATS-2020-10-28 21:25:15.298 [main] INFO  xyz.liangwh.headwaters.HeadwatersApplication - Starting HeadwatersApplication on LAPTOP-VGLK8K0J with PID 13444 (D:\LearnProject\soft\headwaters\target\classes started by liangwh in D:\LearnProject\soft\headwaters)
BEATS-2020-10-28 21:25:21.837 [nioEventLoopGroup-6-1] INFO  xyz.liangwh.headwaters.netty.ServerHandler - 19033
BEATS-2020-10-28 21:25:21.837 [nioEventLoopGroup-6-1] INFO  xyz.liangwh.headwaters.netty.ServerHandler - 19034
BEATS-2020-10-28 21:25:21.838 [nioEventLoopGroup-6-1] INFO  xyz.liangwh.headwaters.netty.ServerHandler - 19035
BEATS-2020-10-28 21:25:21.838 [nioEventLoopGroup-6-1] INFO  xyz.liangwh.headwaters.netty.ServerHandler - 19036
BEATS-2020-10-28 21:25:21.839 [nioEventLoopGroup-6-1] INFO  xyz.liangwh.headwaters.netty.ServerHandler - 19037
BEATS-2020-10-28 21:25:21.839 [nioEventLoopGroup-6-1] INFO  xyz.liangwh.headwaters.netty.ServerHandler - 19038
BEATS-2020-10-28 21:25:21.840 [nioEventLoopGroup-6-1] INFO  xyz.liangwh.headwaters.netty.ServerHandler - 19039
BEATS-2020-10-28 21:25:21.840 [nioEventLoopGroup-6-1] INFO  xyz.liangwh.headwaters.netty.ServerHandler - 19040
BEATS-2020-10-28 21:25:21.841 [nioEventLoopGroup-6-1] INFO  xyz.liangwh.headwaters.netty.ServerHandler - 19041
BEATS-2020-10-28 21:25:21.841 [nioEventLoopGroup-6-1] INFO  xyz.liangwh.headwaters.netty.ServerHandler - 19042
BEATS-2020-10-28 21:25:21.841 [nioEventLoopGroup-6-1] INFO  xyz.liangwh.headwaters.netty.ServerHandler - 19043
BEATS-2020-10-28 21:25:21.842 [nioEventLoopGroup-6-1] INFO  xyz.liangwh.headwaters.netty.ServerHandler - 19044
BEATS-2020-10-28 21:25:21.842 [nioEventLoopGroup-6-1] INFO  xyz.liangwh.headwaters.netty.ServerHandler - 19045
BEATS-2020-10-28 21:25:21.842 [nioEventLoopGroup-6-1] INFO  xyz.liangwh.headwaters.netty.ServerHandler - 19046
